,LOCATION,TIME,A0101,A0102,A0103,A0104,A0105,A0106,A0107,A0108,A0109,A0110,A0111,A0112,Value
82,Belgium,2016,7097.729400416666,2352.829118583333,2598.02661875,12783.719281916667,3452.422109583333,10629.917335416667,6118.655492083333,1083.1971483333334,5194.609546666667,5672.945970833333,3241.23495375,10606.826306666668,100.0
83,Belgium,2017,7024.231990833334,2321.2474085833333,2838.4206195833335,13069.93677875,3496.4157120833333,10781.280531666667,6384.462285833334,1070.866285,5334.199998749999,5823.989644166667,3397.4886975000004,11045.2382325,102.0
84,Belgium,2018,7191.87922625,2384.4780441666667,2851.8052862500003,13514.204822916667,3566.4792624999995,11087.262808333333,6705.93111125,1096.5082479166667,5644.987867,6050.19968875,3553.647255,11415.723048333333,104.0
85,Belgium,2019,7452.914702499999,2456.1245057916667,2840.4189908333333,13778.184287083333,3744.860611666667,11582.55157125,6976.961916666667,1022.4728308333333,5749.655414375,6251.166843333333,3753.4890154166665,11717.4226,100.0
86,Belgium,2020,7666.985057142857,2426.410120285714,2176.518443809524,13293.054100857144,3544.024409047619,10997.139182857141,5601.748442523809,1153.0342833333332,4704.914784285715,6245.549754285714,2356.7214390476192,10803.314133333333,100.0
87,Belgium,2021,11763.572633333333,3569.671967777778,3367.1235733333333,19810.31420888889,5374.105453333334,16475.98876888889,8449.78128888889,1900.6443277777778,7048.29403,9840.081158888888,3681.3923655555554,16391.954533333334,101.0
113,Switzerland,1997,5602.492746666667,3053.8593744444443,2536.2275033333335,14052.890587777778,2720.045783333333,6760.085602222222,5809.66628,1241.377798888889,6858.716352222222,4152.051551111112,4767.32749,10894.888752222223,127.0
114,Switzerland,1998,5708.992238888889,3064.845782222222,2559.4283555555553,14335.827994444444,2830.1468788888888,7163.213747777778,5917.625804444444,1293.266221111111,6983.461357777778,4220.269534444445,4727.664646666667,11554.320032222222,130.0
115,Switzerland,1999,4611.056557142857,2547.1696778571427,2059.1144492857143,11749.613102857142,2412.885362142857,5802.3620064285715,5127.386758571428,1125.1241964285714,5871.564004285714,3231.8020464285714,3874.489685,9363.790689285714,123.0
116,Switzerland,2000,4715.149595000001,2549.7767521428573,2062.6833971428573,12142.352507857142,2503.770032142857,6161.444206428571,5494.128347142857,1187.2123685714287,5792.609087857143,3447.409929285714,4036.1210964285715,9916.60925,114.0
117,Switzerland,2001,5009.035883571429,2554.56196,2155.1998878571426,12718.952255,2514.278990714286,6502.27733,5630.845827142858,1326.6509457142856,5935.352426428572,3668.6679664285716,4363.350644285714,9769.229502857143,118.0
118,Switzerland,2002,5142.172248571428,2645.796246428571,2132.838557857143,13159.968094285714,2567.000480714286,6811.301921428571,5649.6579521428575,1392.2478307142858,6249.330349999999,3872.798655714286,4231.939177857143,9585.739060000002,123.0
119,Switzerland,2003,4087.5265633333333,2195.0443495833333,1720.8831483333333,10369.628936250001,2038.1684504166667,5394.58731875,4555.5461175,1083.61276125,5235.020767916666,2996.98443,3432.345525833334,7836.314945416667,132.0
120,Switzerland,2004,4089.9964041666667,2193.55405625,1736.0301116666667,10682.314874583333,2066.07979625,5720.146932083334,4742.951285833334,1157.9000341666667,5333.685695,3085.430605,3606.8009545833334,8054.9130525,134.0
121,Switzerland,2005,4236.455143333334,2200.5255375,1776.7541029166666,11108.4035525,2116.798422916667,5842.955458333334,4961.863274166667,1247.4484141666667,5411.53205875,3186.8988879166664,3660.2700425000003,8186.390129583334,133.0
122,Switzerland,2006,4402.9060479166665,2213.0719658333333,1794.6284170833333,11535.820502916666,2197.4041341666666,5841.154357916667,5242.37572,1326.30545875,5456.8831666666665,3327.285155833333,3738.2242112500003,8714.461959583334,128.0
123,Switzerland,2007,4516.0575524999995,2212.2942445833332,1884.743945,11828.723161666667,2348.754495,6478.092428333333,5581.989211249999,1597.4839866666669,5682.802434166667,3433.697041666667,3797.8330454166667,9391.820794583333,123.0
124,Switzerland,2008,4925.8351625000005,2173.3298033333335,2027.4534304166666,12349.299579583334,2527.1530491666667,6938.898250416667,5825.656496250001,1607.9722270833333,5755.280716249999,3588.4696058333334,3870.7351004166667,9344.156522083334,130.0
